Contestant,Age,Residence,Occupation,Affiliation,Finish,Episode,fname,lname,Inferred_Gender,Inferred_Ethnicity,Season,player_id
Netty Österberg,42,Glasgow,Nursery school teacher,Faithful,Murdered ,2,Netty,Österberg,female,Black/Mixed,4,4_Netty Österberg
Judy Wilson,60,Doncaster,Child liaison officer,Faithful,Banished ,2,Judy,Wilson,female,Black/Mixed,4,4_Judy Wilson
Ben,66,Hampshire,Royal Navy veteran,Faithful,Murdered ,3,Ben,,male,White,4,4_Ben
Hugo Lodge,51,London,Barrister,Traitor,Banished ,3,Hugo,Lodge,male,White,4,4_Hugo Lodge
Ross Garshong,37,London,Sales executive & personal trainer,Faithful,Banished,4,Ross,Garshong,male,Black,4,4_Ross Garshong
"Marzook ""Maz"" Bana",59,Preston,Civil servant,Faithful,Murdered ,5,Marzook,"""Maz"" Bana",male,Asian/IndianSubContinent,4,"4_Marzook ""Maz"" Bana"
Amanda Collier,57,Brighton,Retired police detective,Faithful,Banished ,5,Amanda,Collier,female,White,4,4_Amanda Collier
Reece Ward,27,Sheffield,Sweet shop assistant,Faithful,Murdered ,6,Reece,Ward,male,White,4,4_Reece Ward
Fiona Hughes,62,Swansea,Local government officer,Traitor,Banished ,6,Fiona,Hughes,female,White,4,4_Fiona Hughes
Harriet Tyce,52,London,Crime writer & former barrister,Faithful,Banished ,7,Harriet,Tyce,female,White,4,4_Harriet Tyce
Adam Waughman,34,Romford,Builder,Faithful,Murdered ,8,Adam,Waughman,male,White,4,4_Adam Waughman
Sam Little,34,North Yorkshire,Account manager,Faithful,Banished ,8,Sam,Little,male,White,4,4_Sam Little
Jessie Stride,28,"Hull, England",Hairstylist,Faithful,Murdered ,9,Jessie,Stride,female,White,4,4_Jessie Stride
Ellie Buckley,33,"London, England",Psychologist,Faithful,Banished ,9,Ellie,Buckley,female,White,4,4_Ellie Buckley
Matthew Hyndman,35,"Edinburgh, Scotland",Creative director,Faithful,Banished,10,Matthew,Hyndman,male,White,4,4_Matthew Hyndman
Roxy Wilson,32,"Amsterdam, Netherlands",Recruiter,Faithful,Murdered ,11,Roxy,Wilson,female,Black/Mixed,4,4_Roxy Wilson
James Baker,38,"Weymouth, England",Gardener,Faithful,Banished ,12,James,Baker,male,White,4,4_James Baker
Jade Scott,25,"Warwick, England",PhD student,Faithful,Banished ,12,Jade,Scott,female,Asian/Mixed ,4,4_Jade Scott
Faraaz Noor,22,"Middlesbrough, England",Internal auditor,Faithful,Banished ,12,Faraaz,Noor,male,GreaterAfrican/Muslim,4,4_Faraaz Noor
Jack Butler,29,"Hatfield Heath, England",Personal trainer,Faithful,Banished ,12,Jack,Butler,male,White,4,4_Jack Butler
Rachel Duffy,42,"Newry, Northern Ireland",Head of communications,Traitor,Winner ,12,Rachel,Duffy,female,White,4,4_Rachel Duffy
Stephen Libby,32,"London, England",Cyber security consultant,Traitor,Winner ,12,Stephen,Libby,male,White,4,4_Stephen Libby
